index,country,year,month,indicator,gwh
337,CZE,2009,2,Consumption,0.0005323663415785007
338,CZE,2009,3,Consumption,0.0005472074895901315
339,CZE,2009,4,Consumption,0.0004428407067986629
340,CZE,2009,5,Consumption,0.0004403512239063893
341,CZE,2009,6,Consumption,0.00043077628970533715
342,CZE,2009,7,Consumption,0.00042857405483909516
343,CZE,2009,8,Consumption,0.0004315422844414213
344,CZE,2009,9,Consumption,0.0004449471923228944
345,CZE,2009,10,Consumption,0.0005123547290983016
346,CZE,2009,11,Consumption,0.000524706394217659
347,CZE,2009,12,Consumption,0.000558314413263352
348,DEU,2009,1,Consumption,0.0005604848224849149
349,DEU,2009,2,Consumption,0.0005029284462035972
350,DEU,2009,3,Consumption,0.0005163835006503541
351,DEU,2009,4,Consumption,0.0004563485617077917
352,DEU,2009,5,Consumption,0.00045261240321350167
353,DEU,2009,6,Consumption,0.00044809482594916405
354,DEU,2009,7,Consumption,0.0004668855054351522
355,DEU,2009,8,Consumption,0.0004616719770787409
356,DEU,2009,9,Consumption,0.00046979140648626663
357,DEU,2009,10,Consumption,0.0005017318987119618
358,DEU,2009,11,Consumption,0.0004864209746863419
359,DEU,2009,12,Consumption,0.0005217679643627133
360,DNK,2009,1,Consumption,0.0006181316816024348
361,DNK,2009,2,Consumption,0.0005515023732164665
362,DNK,2009,3,Consumption,0.0005676165266032903
363,DNK,2009,4,Consumption,0.00048306248579827073
364,DNK,2009,5,Consumption,0.0004808897909595978
365,DNK,2009,6,Consumption,0.0004776307487015885
366,DNK,2009,7,Consumption,0.00045735226354064163
367,DNK,2009,8,Consumption,0.0004861404701530573
368,DNK,2009,9,Consumption,0.0004904858598304031
369,DNK,2009,10,Consumption,0.0005382851462812064
370,DNK,2009,11,Consumption,0.0005524076627325802
371,DNK,2009,12,Consumption,0.0005951373278931469
372,ESP,2009,1,Consumption,0.000520631281713634
373,ESP,2009,2,Consumption,0.0004535302825665996
374,ESP,2009,3,Consumption,0.00047015994195019443
375,ESP,2009,4,Consumption,0.00042210432443184263
376,ESP,2009,5,Consumption,0.0004317672134121934
377,ESP,2009,6,Consumption,0.0004431987561791263
378,ESP,2009,7,Consumption,0.0004876739282270803
379,ESP,2009,8,Consumption,0.00046642851383947863
380,ESP,2009,9,Consumption,0.0004588362439263458
381,ESP,2009,10,Consumption,0.0004406967581395712
382,ESP,2009,11,Consumption,0.00043754769164151044
383,ESP,2009,12,Consumption,0.0004856895849543297
384,EST,2009,1,Consumption,0.0006421808672064383
385,EST,2009,2,Consumption,0.0005732419643091311
386,EST,2009,3,Consumption,0.0005807353233197079
387,EST,2009,4,Consumption,0.00048182298438009314
388,EST,2009,5,Consumption,0.0004226254481965358
389,EST,2009,6,Consumption,0.00037616662233095916
390,EST,2009,7,Consumption,0.0003791639659351899
391,EST,2009,8,Consumption,0.0003956493557584591
392,EST,2009,9,Consumption,0.00042187611229547816
393,EST,2009,10,Consumption,0.0005200391153340352
394,EST,2009,11,Consumption,0.0005477645436731697
395,EST,2009,12,Consumption,0.0006264448132842268
396,FIN,2009,1,Consumption,0.0015327210565679523
397,FIN,2009,2,Consumption,0.0013980483888822188
398,FIN,2009,3,Consumption,0.001428017271816457
399,FIN,2009,4,Consumption,0.0012038125663646866
400,FIN,2009,5,Consumption,0.0011174647224104122
401,FIN,2009,6,Consumption,0.0009679949187758985
402,FIN,2009,7,Consumption,0.0009908461920132552
403,FIN,2009,8,Consumption,0.0010644572607204782
404,FIN,2009,9,Consumption,0.0011472462998263116
405,FIN,2009,10,Consumption,0.001378568614974964
406,FIN,2009,11,Consumption,0.0013795051425666588
407,FIN,2009,12,Consumption,0.0015398386662648339
408,FRA,2009,1,Consumption,0.0008453910817684922
409,FRA,2009,2,Consumption,0.0007179627400826993
410,FRA,2009,3,Consumption,0.0006863760883235723
411,FRA,2009,4,Consumption,0.0005747410725173429
412,FRA,2009,5,Consumption,0.0005318889270535175
413,FRA,2009,6,Consumption,0.000520716153461615
414,FRA,2009,7,Consumption,0.0005425362866729102
415,FRA,2009,8,Consumption,0.0005065917896123772
416,FRA,2009,9,Consumption,0.0005310544460383547
417,FRA,2009,10,Consumption,0.0006083366600537137
418,FRA,2009,11,Consumption,0.000646660973342674
419,FRA,2009,12,Consumption,0.0007851848218597061
420,HUN,2009,1,Consumption,0.00035918644270726803
421,HUN,2009,2,Consumption,0.00032057390011623675
422,HUN,2009,3,Consumption,0.000338433448239737
423,HUN,2009,4,Consumption,0.0002935351429013285
424,HUN,2009,5,Consumption,0.0003068050864791248
425,HUN,2009,6,Consumption,0.0003065057644435354
426,HUN,2009,7,Consumption,0.00033334497363471735
427,HUN,2009,8,Consumption,0.00031658293964171154
428,HUN,2009,9,Consumption,0.0003202745780806473
429,HUN,2009,10,Consumption,0.00033663751602620065
430,HUN,2009,11,Consumption,0.00033234723351608606
431,HUN,2009,12,Consumption,0.00033653774201433754
432,IRL,2009,1,Consumption,0.0005761375850949481
433,IRL,2009,2,Consumption,0.000510431882699887
434,IRL,2009,3,Consumption,0.000522999751949949
435,IRL,2009,4,Consumption,0.0004736102306865474
436,IRL,2009,5,Consumption,0.00046986191880495
437,IRL,2009,6,Consumption,0.0004392139569495356
438,IRL,2009,7,Consumption,0.00044671058071273046
