index,level_0,country,year,month,gwh,indicator
931,413,ITA,2008,9,28667.0,Consumption
932,414,LTU,2008,9,848.0,Consumption
933,415,LUX,2008,9,532.0,Consumption
934,416,LVA,2008,9,590.0,Consumption
938,417,NLD,2008,9,9488.0,Consumption
939,418,NOR,2008,9,8960.0,Consumption
940,419,POL,2008,9,11205.0,Consumption
941,420,PRT,2008,9,3270.0,Consumption
942,421,ROU,2008,9,4287.0,Consumption
944,422,SWE,2008,9,10680.0,Consumption
945,423,SVN,2008,9,1142.0,Consumption
946,424,SVK,2008,9,2120.0,Consumption
951,425,AUT,2008,9,1223.0,Imports
953,426,BEL,2008,9,1248.0,Imports
954,427,BGR,2008,9,191.0,Imports
955,428,CYP,2008,9,0.0,Imports
956,429,CZE,2008,9,483.0,Imports
957,430,DEU,2008,9,3355.0,Imports
958,431,DNK,2008,9,1263.0,Imports
959,432,EST,2008,9,10.0,Imports
961,433,ESP,2008,9,416.0,Imports
963,434,FIN,2008,9,1235.0,Imports
964,435,FRA,2008,9,878.0,Imports
966,436,HUN,2008,9,888.0,Imports
967,437,IRL,2008,9,58.0,Imports
969,438,ITA,2008,9,3069.0,Imports
970,439,LTU,2008,9,724.0,Imports
971,440,LUX,2008,9,529.0,Imports
972,441,LVA,2008,9,481.0,Imports
976,442,NLD,2008,9,1881.0,Imports
977,443,NOR,2008,9,194.0,Imports
978,444,POL,2008,9,582.0,Imports
979,445,PRT,2008,9,758.0,Imports
980,446,ROU,2008,9,85.0,Imports
982,447,SWE,2008,9,1068.0,Imports
983,448,SVN,2008,9,526.0,Imports
984,449,SVK,2008,9,812.0,Imports
1027,450,AUT,2008,10,5630.0,Consumption
1029,451,BEL,2008,10,7576.0,Consumption
1030,452,BGR,2008,10,2695.0,Consumption
1031,453,CYP,2008,10,352.0,Consumption
1032,454,CZE,2008,10,5530.0,Consumption
1033,455,DEU,2008,10,43463.0,Consumption
1034,456,DNK,2008,10,3093.0,Consumption
1035,457,EST,2008,10,718.0,Consumption
1037,458,ESP,2008,10,21300.0,Consumption
1039,459,FIN,2008,10,7255.0,Consumption
1040,460,FRA,2008,10,40552.0,Consumption
1042,461,HUN,2008,10,3496.0,Consumption
1043,462,IRL,2008,10,2285.0,Consumption
1045,463,ITA,2008,10,28288.0,Consumption
1046,464,LTU,2008,10,901.0,Consumption
1047,465,LUX,2008,10,551.0,Consumption
1048,466,LVA,2008,10,651.0,Consumption
1052,467,NLD,2008,10,10169.0,Consumption
1053,468,NOR,2008,10,10518.0,Consumption
1054,469,POL,2008,10,12045.0,Consumption
1055,470,PRT,2008,10,3167.0,Consumption
1056,471,ROU,2008,10,4544.0,Consumption
1058,472,SWE,2008,10,11913.0,Consumption
1059,473,SVN,2008,10,1190.0,Consumption
1060,474,SVK,2008,10,2305.0,Consumption
1065,475,AUT,2008,10,1777.0,Imports
1067,476,BEL,2008,10,1186.0,Imports
1068,477,BGR,2008,10,175.0,Imports
1069,478,CYP,2008,10,0.0,Imports
1070,479,CZE,2008,10,772.0,Imports
1071,480,DEU,2008,10,2894.0,Imports
1072,481,DNK,2008,10,959.0,Imports
1073,482,EST,2008,10,99.0,Imports
1075,483,ESP,2008,10,284.0,Imports
1077,484,FIN,2008,10,1232.0,Imports
1078,485,FRA,2008,10,1578.0,Imports
1080,486,HUN,2008,10,1013.0,Imports
1081,487,IRL,2008,10,14.0,Imports
1083,488,ITA,2008,10,3094.0,Imports
1084,489,LTU,2008,10,437.0,Imports
1085,490,LUX,2008,10,533.0,Imports
1086,491,LVA,2008,10,458.0,Imports
1090,492,NLD,2008,10,1563.0,Imports
1091,493,NOR,2008,10,299.0,Imports
1092,494,POL,2008,10,781.0,Imports
1093,495,PRT,2008,10,834.0,Imports
1094,496,ROU,2008,10,63.0,Imports
1096,497,SWE,2008,10,1094.0,Imports
1097,498,SVN,2008,10,586.0,Imports
1098,499,SVK,2008,10,1069.0,Imports
1141,500,AUT,2008,11,5634.0,Consumption
1143,501,BEL,2008,11,7372.0,Consumption
1144,502,BGR,2008,11,3000.0,Consumption
1145,503,CYP,2008,11,316.0,Consumption
1146,504,CZE,2008,11,5636.0,Consumption
1147,505,DEU,2008,11,42451.0,Consumption
1148,506,DNK,2008,11,3189.0,Consumption
1149,507,EST,2008,11,762.0,Consumption
1151,508,ESP,2008,11,21970.0,Consumption
1153,509,FIN,2008,11,7535.0,Consumption
1154,510,FRA,2008,11,44303.0,Consumption
1156,511,HUN,2008,11,3445.0,Consumption
1157,512,IRL,2008,11,2456.0,Consumption
1159,513,ITA,2008,11,26781.0,Consumption
1160,514,LTU,2008,11,924.0,Consumption
1161,515,LUX,2008,11,491.0,Consumption
1162,516,LVA,2008,11,670.0,Consumption
1166,517,NLD,2008,11,10442.0,Consumption
1167,518,NOR,2008,11,11789.0,Consumption
1168,519,POL,2008,11,11616.0,Consumption
1169,520,PRT,2008,11,3295.0,Consumption
1170,521,ROU,2008,11,4553.0,Consumption
1172,522,SWE,2008,11,13039.0,Consumption
1173,523,SVN,2008,11,1149.0,Consumption
1174,524,SVK,2008,11,2285.0,Consumption
1179,525,AUT,2008,11,2078.0,Imports
1181,526,BEL,2008,11,1081.0,Imports
1182,527,BGR,2008,11,127.0,Imports
1183,528,CYP,2008,11,0.0,Imports
1184,529,CZE,2008,11,895.0,Imports
1185,530,DEU,2008,11,3066.0,Imports
1186,531,DNK,2008,11,723.0,Imports
1187,532,EST,2008,11,163.0,Imports
1189,533,ESP,2008,11,589.0,Imports
1191,534,FIN,2008,11,1260.0,Imports
1192,535,FRA,2008,11,940.0,Imports
1194,536,HUN,2008,11,866.0,Imports
1195,537,IRL,2008,11,9.0,Imports
1197,538,ITA,2008,11,3855.0,Imports
1198,539,LTU,2008,11,344.0,Imports
1199,540,LUX,2008,11,487.0,Imports
1200,541,LVA,2008,11,399.0,Imports
1204,542,NLD,2008,11,1738.0,Imports
1205,543,NOR,2008,11,426.0,Imports
1206,544,POL,2008,11,703.0,Imports
1207,545,PRT,2008,11,1045.0,Imports
1208,546,ROU,2008,11,69.0,Imports
1210,547,SWE,2008,11,1888.0,Imports
1211,548,SVN,2008,11,563.0,Imports
1212,549,SVK,2008,11,594.0,Imports
1255,550,AUT,2008,12,5786.0,Consumption
1257,551,BEL,2008,12,7502.0,Consumption
1258,552,BGR,2008,12,3320.0,Consumption
1259,553,CYP,2008,12,378.0,Consumption
1260,554,CZE,2008,12,5688.0,Consumption
1261,555,DEU,2008,12,43332.0,Consumption
1262,556,DNK,2008,12,3307.0,Consumption
1263,557,EST,2008,12,832.0,Consumption
1265,558,ESP,2008,12,23283.0,Consumption
1267,559,FIN,2008,12,7480.0,Consumption
1268,560,FRA,2008,12,51583.0,Consumption
1270,561,HUN,2008,12,3396.0,Consumption
1271,562,IRL,2008,12,2582.0,Consumption
1273,563,ITA,2008,12,26630.0,Consumption
1274,564,LTU,2008,12,928.0,Consumption
1275,565,LUX,2008,12,450.0,Consumption
1276,566,LVA,2008,12,711.0,Consumption
1280,567,NLD,2008,12,10765.0,Consumption
1281,568,NOR,2008,12,12904.0,Consumption
1282,569,POL,2008,12,12046.0,Consumption
1283,570,PRT,2008,12,3436.0,Consumption
1284,571,ROU,2008,12,4648.0,Consumption
1286,572,SWE,2008,12,13854.0,Consumption
1287,573,SVN,2008,12,1108.0,Consumption
1288,574,SVK,2008,12,2325.0,Consumption
1293,575,AUT,2008,12,2299.0,Imports
1295,576,BEL,2008,12,867.0,Imports
1296,577,BGR,2008,12,292.0,Imports
1297,578,CYP,2008,12,0.0,Imports
1298,579,CZE,2008,12,770.0,Imports
1299,580,DEU,2008,12,3399.0,Imports
1300,581,DNK,2008,12,830.0,Imports
1301,582,EST,2008,12,181.0,Imports
1303,583,ESP,2008,12,679.0,Imports
1305,584,FIN,2008,12,1280.0,Imports
1306,585,FRA,2008,12,1395.0,Imports
1308,586,HUN,2008,12,808.0,Imports
1309,587,IRL,2008,12,77.0,Imports
1311,588,ITA,2008,12,4079.0,Imports
1312,589,LTU,2008,12,417.0,Imports
1313,590,LUX,2008,12,470.0,Imports
1314,591,LVA,2008,12,399.0,Imports
1318,592,NLD,2008,12,2033.0,Imports
1319,593,NOR,2008,12,331.0,Imports
1320,594,POL,2008,12,530.0,Imports
1321,595,PRT,2008,12,1071.0,Imports
1322,596,ROU,2008,12,124.0,Imports
1324,597,SWE,2008,12,1856.0,Imports
1325,598,SVN,2008,12,523.0,Imports
1326,599,SVK,2008,12,499.0,Imports
1369,600,AUT,2009,1,6083.0,Consumption
1371,601,BEL,2009,1,7968.0,Consumption
1372,602,BGR,2009,1,3627.0,Consumption
1373,603,CYP,2009,1,408.0,Consumption
1374,604,CZE,2009,1,6292.0,Consumption
1375,605,DEU,2009,1,45905.0,Consumption
1376,606,DNK,2009,1,3414.0,Consumption
1377,607,EST,2009,1,857.0,Consumption
1379,608,ESP,2009,1,24138.0,Consumption
1381,609,FIN,2009,1,8183.0,Consumption
1382,610,FRA,2009,1,54706.0,Consumption
1384,611,HUN,2009,1,3600.0,Consumption
1385,612,IRL,2009,1,2613.0,Consumption
1387,613,ITA,2009,1,27374.0,Consumption
1388,614,LTU,2009,1,912.0,Consumption
1389,615,LUX,2009,1,566.0,Consumption
1390,616,LVA,2009,1,722.0,Consumption
1393,617,MLT,2009,1,166.0,Consumption
