index,level_0,country,year,ktoe,indicator
308,263,LTU,2010,23.963,Peat and peat products
309,264,LUX,2010,0.0,Peat and peat products
310,265,LVA,2010,2.4,Peat and peat products
311,266,MDA,2010,0.0,Peat and peat products
312,267,MNE,2010,0.0,Peat and peat products
313,268,MKD,2010,0.0,Peat and peat products
314,269,MLT,2010,0.0,Peat and peat products
315,270,NLD,2010,0.0,Peat and peat products
316,271,NOR,2010,0.0,Peat and peat products
317,272,POL,2010,0.0,Peat and peat products
318,273,PRT,2010,0.0,Peat and peat products
319,274,ROU,2010,8.398,Peat and peat products
320,275,SRB,2010,0.0,Peat and peat products
321,276,SWE,2010,350.76,Peat and peat products
322,277,SVN,2010,0.0,Peat and peat products
323,278,SVK,2010,0.0,Peat and peat products
324,279,TUR,2010,0.0,Peat and peat products
325,280,UKR,2010,119.092,Peat and peat products
328,281,ALB,2010,862.358,Renewables and biofuels
329,282,AUT,2010,9478.543,Renewables and biofuels
331,283,BEL,2010,2976.17,Renewables and biofuels
332,284,BGR,2010,1485.571,Renewables and biofuels
333,285,CYP,2010,109.445,Renewables and biofuels
334,286,CZE,2010,3177.609,Renewables and biofuels
335,287,DEU,2010,31267.615,Renewables and biofuels
336,288,DNK,2010,3999.089,Renewables and biofuels
337,289,EST,2010,854.231,Renewables and biofuels
339,290,ESP,2010,15044.345,Renewables and biofuels
341,291,FIN,2010,9293.334,Renewables and biofuels
342,292,FRA,2010,22187.381,Renewables and biofuels
344,293,HRV,2010,2079.366,Renewables and biofuels
928,294,MKD,2011,3118.22,Total
345,295,HUN,2010,2777.522,Renewables and biofuels
346,296,IRL,2010,678.381,Renewables and biofuels
347,297,ISL,2010,4790.472,Renewables and biofuels
348,298,ITA,2010,21864.302,Renewables and biofuels
349,299,LTU,2010,1064.947,Renewables and biofuels
350,300,LUX,2010,129.296,Renewables and biofuels
351,301,LVA,2010,1434.397,Renewables and biofuels
352,302,MDA,2010,518.568,Renewables and biofuels
353,303,MNE,2010,397.463,Renewables and biofuels
354,304,MKD,2010,413.889,Renewables and biofuels
355,305,MLT,2010,5.058,Renewables and biofuels
356,306,NLD,2010,3314.653,Renewables and biofuels
357,307,NOR,2010,12134.248,Renewables and biofuels
358,308,POL,2010,7314.159,Renewables and biofuels
359,309,PRT,2010,5459.156,Renewables and biofuels
360,310,ROU,2010,5860.59,Renewables and biofuels
361,311,SRB,2010,2054.829,Renewables and biofuels
362,312,SWE,2010,16751.977,Renewables and biofuels
363,313,SVN,2010,1163.245,Renewables and biofuels
364,314,SVK,2010,1324.701,Renewables and biofuels
365,315,TUR,2010,11626.509,Renewables and biofuels
366,316,UKR,2010,2734.745,Renewables and biofuels
369,317,ALB,2010,0.0,Oil shale and oil sands
370,318,AUT,2010,0.0,Oil shale and oil sands
372,319,BEL,2010,0.0,Oil shale and oil sands
373,320,BGR,2010,0.0,Oil shale and oil sands
374,321,CYP,2010,0.0,Oil shale and oil sands
375,322,CZE,2010,0.0,Oil shale and oil sands
376,323,DEU,2010,0.0,Oil shale and oil sands
377,324,DNK,2010,0.0,Oil shale and oil sands
378,325,EST,2010,4109.792,Oil shale and oil sands
380,326,ESP,2010,0.0,Oil shale and oil sands
382,327,FIN,2010,0.0,Oil shale and oil sands
383,328,FRA,2010,0.0,Oil shale and oil sands
385,329,HRV,2010,0.0,Oil shale and oil sands
386,330,HUN,2010,0.0,Oil shale and oil sands
387,331,IRL,2010,0.0,Oil shale and oil sands
388,332,ISL,2010,0.0,Oil shale and oil sands
389,333,ITA,2010,0.0,Oil shale and oil sands
390,334,LTU,2010,0.0,Oil shale and oil sands
391,335,LUX,2010,0.0,Oil shale and oil sands
392,336,LVA,2010,0.0,Oil shale and oil sands
393,337,MDA,2010,0.0,Oil shale and oil sands
394,338,MNE,2010,0.0,Oil shale and oil sands
395,339,MKD,2010,0.0,Oil shale and oil sands
396,340,MLT,2010,0.0,Oil shale and oil sands
397,341,NLD,2010,0.0,Oil shale and oil sands
398,342,NOR,2010,0.0,Oil shale and oil sands
399,343,POL,2010,0.0,Oil shale and oil sands
400,344,PRT,2010,0.0,Oil shale and oil sands
401,345,ROU,2010,0.0,Oil shale and oil sands
402,346,SRB,2010,0.0,Oil shale and oil sands
403,347,SWE,2010,0.0,Oil shale and oil sands
404,348,SVN,2010,0.0,Oil shale and oil sands
405,349,SVK,2010,0.0,Oil shale and oil sands
406,350,TUR,2010,0.0,Oil shale and oil sands
407,351,UKR,2010,0.0,Oil shale and oil sands
410,352,ALB,2010,2134.728,Total
411,353,AUT,2010,34166.28,Total
