index,level_0,country,year,population
353,353,BGR,2021,6877743
354,354,CYP,2021,1244188
355,355,CZE,2021,10505772
356,356,DEU,2021,83196078
357,357,DNK,2021,5856733
358,358,ESP,2021,47415750
359,359,EST,2021,1330932
360,360,FIN,2021,5541017
361,361,FRA,2021,67749632
362,362,GRC,2021,10641221
363,363,HRV,2021,3879000
364,364,HUN,2021,9709891
365,365,IRL,2021,5033165
366,366,ITA,2021,59109668
367,367,LTU,2021,2800839
368,368,LUX,2021,640064
369,369,LVA,2021,1884490
370,370,MLT,2021,518536
371,371,NLD,2021,17533044
372,372,POL,2021,37747124
373,373,PRT,2021,10325147
374,374,ROU,2021,19119880
375,375,SVK,2021,5447247
376,376,SVN,2021,2108079
377,377,SWE,2021,10415811
378,378,AUT,2022,9042528
379,379,BEL,2022,11669446
380,380,BGR,2022,6465097
381,381,CYP,2022,1251488
382,382,CZE,2022,10526073
383,383,DEU,2022,84079811
384,384,DNK,2022,5903037
385,385,ESP,2022,47615034
386,386,EST,2022,1344768
387,387,FIN,2022,5556880
388,388,FRA,2022,67935660
389,389,GRC,2022,10566531
390,390,HRV,2022,3854000
391,391,HUN,2022,9683505
392,392,IRL,2022,5086988
393,393,ITA,2022,58856847
394,394,LTU,2022,2833000
395,395,LUX,2022,650774
396,396,LVA,2022,1883379
397,397,MLT,2022,523417
398,398,NLD,2022,17703090
399,399,POL,2022,37561599
400,400,PRT,2022,10379007
401,401,ROU,2022,18956666
402,402,SVK,2022,5431752
403,403,SVN,2022,2108732
404,404,SWE,2022,10486941
