,Date,Country,Temperature
5095,2005-04,CHE,6.0
5096,2005-05,CHE,10.0
5097,2005-06,CHE,16.0
5098,2005-07,CHE,16.0
5099,2005-08,CHE,14.0
5100,2005-09,CHE,12.0
5101,2005-10,CHE,8.0
5102,2005-11,CHE,1.0
5103,2005-12,CHE,-3.0
5104,2006-01,CHE,-3.0
5105,2006-02,CHE,-2.0
5106,2006-03,CHE,1.0
5107,2006-04,CHE,5.0
5108,2006-05,CHE,10.0
5109,2006-06,CHE,15.0
5110,2006-07,CHE,19.0
5111,2006-08,CHE,12.0
5112,2006-09,CHE,14.0
5113,2006-10,CHE,10.0
5114,2006-11,CHE,4.0
5115,2006-12,CHE,0.0
5116,2007-01,CHE,1.0
5117,2007-02,CHE,2.0
5118,2007-03,CHE,2.0
5119,2007-04,CHE,10.0
5120,2007-05,CHE,11.0
5121,2007-06,CHE,14.0
5122,2007-07,CHE,15.0
5123,2007-08,CHE,14.0
5124,2007-09,CHE,10.0
5125,2007-10,CHE,7.0
5126,2007-11,CHE,1.0
5127,2007-12,CHE,-1.0
5128,2008-01,CHE,1.0
5129,2008-02,CHE,1.0
5130,2008-03,CHE,1.0
5131,2008-04,CHE,4.0
5132,2008-05,CHE,11.0
5133,2008-06,CHE,14.0
5134,2008-07,CHE,15.0
5135,2008-08,CHE,15.0
5136,2008-09,CHE,10.0
5137,2008-10,CHE,8.0
5138,2008-11,CHE,2.0
5139,2008-12,CHE,-2.0
5140,2009-01,CHE,-4.0
5141,2009-02,CHE,-3.0
5142,2009-03,CHE,2.0
5143,2009-04,CHE,7.0
5144,2009-05,CHE,12.0
5145,2009-06,CHE,14.0
5146,2009-07,CHE,16.0
5147,2009-08,CHE,17.0
5148,2009-09,CHE,13.0
5149,2009-10,CHE,7.0
5150,2009-11,CHE,4.0
5151,2009-12,CHE,-2.0
5152,2010-01,CHE,-4.0
5153,2010-02,CHE,-2.0
5154,2010-03,CHE,1.0
5155,2010-04,CHE,6.0
5156,2010-05,CHE,8.0
5157,2010-06,CHE,13.0
5158,2010-07,CHE,17.0
5159,2010-08,CHE,14.0
5160,2010-09,CHE,11.0
5161,2010-10,CHE,6.0
5162,2010-11,CHE,2.0
5163,2010-12,CHE,-3.0
5164,2011-01,CHE,-1.0
5165,2011-02,CHE,0.0
5166,2011-03,CHE,3.0
5167,2011-04,CHE,8.0
5168,2011-05,CHE,12.0
5169,2011-06,CHE,13.0
5170,2011-07,CHE,13.0
5171,2011-08,CHE,16.0
5172,2011-09,CHE,14.0
5173,2011-10,CHE,7.0
5174,2011-11,CHE,3.0
5175,2011-12,CHE,1.0
5176,2012-01,CHE,-0.0
5177,2012-02,CHE,-5.0
5178,2012-03,CHE,5.0
5179,2012-04,CHE,5.0
5180,2012-05,CHE,10.0
5181,2012-06,CHE,15.0
5182,2012-07,CHE,16.0
5183,2012-08,CHE,17.0
5184,2012-09,CHE,12.0
5185,2012-10,CHE,8.0
5186,2012-11,CHE,3.0
5187,2012-12,CHE,-1.0
5188,2013-01,CHE,-2.0
5189,2013-02,CHE,-4.0
5190,2013-03,CHE,-0.0
5191,2013-04,CHE,6.0
5192,2013-05,CHE,7.0
5193,2013-06,CHE,12.0
5194,2013-07,CHE,17.0
5195,2013-08,CHE,16.0
5196,2013-09,CHE,12.0
5197,2013-10,CHE,9.0
5198,2013-11,CHE,2.0
5199,2013-12,CHE,-1.0
5200,2014-01,CHE,0.0
5201,2014-02,CHE,0.0
5202,2014-03,CHE,4.0
5203,2014-04,CHE,7.0
5204,2014-05,CHE,9.0
5205,2014-06,CHE,14.0
5206,2014-07,CHE,14.0
5207,2014-08,CHE,14.0
5208,2014-09,CHE,12.0
5209,2014-10,CHE,10.0
5210,2014-11,CHE,5.0
5211,2014-12,CHE,1.0
