geo\TIME_PERIOD,indic,Date,GWH
IT,Consumption,2008-04,26854.0
LT,Consumption,2008-04,855.0
LU,Consumption,2008-04,592.0
LV,Consumption,2008-04,611.0
ME,Consumption,2008-04,
MK,Consumption,2008-04,
MT,Consumption,2008-04,
NL,Consumption,2008-04,9190.0
NO,Consumption,2008-04,10671.0
PL,Consumption,2008-04,11270.0
PT,Consumption,2008-04,2893.0
RO,Consumption,2008-04,4336.0
RS,Consumption,2008-04,
SE,Consumption,2008-04,12060.0
SI,Consumption,2008-04,1135.0
SK,Consumption,2008-04,2199.0
TR,Consumption,2008-04,
UK,Consumption,2008-04,32010.0
XK,Consumption,2008-04,
AL,Imports,2008-04,
AT,Imports,2008-04,1764.0
BA,Imports,2008-04,
BE,Imports,2008-04,1886.0
BG,Imports,2008-04,141.0
CY,Imports,2008-04,0.0
CZ,Imports,2008-04,569.0
DE,Imports,2008-04,3204.0
DK,Imports,2008-04,1366.0
EE,Imports,2008-04,164.0
EL,Imports,2008-04,327.0
ES,Imports,2008-04,257.0
EU27_2020,Imports,2008-04,
FI,Imports,2008-04,1312.0
FR,Imports,2008-04,593.0
HR,Imports,2008-04,
HU,Imports,2008-04,1004.0
IE,Imports,2008-04,141.0
IS,Imports,2008-04,
IT,Imports,2008-04,3711.0
LT,Imports,2008-04,400.0
LU,Imports,2008-04,601.0
LV,Imports,2008-04,245.0
ME,Imports,2008-04,
MK,Imports,2008-04,
MT,Imports,2008-04,
NL,Imports,2008-04,2081.0
NO,Imports,2008-04,413.0
PL,Imports,2008-04,699.0
PT,Imports,2008-04,959.0
RO,Imports,2008-04,45.0
RS,Imports,2008-04,
SE,Imports,2008-04,379.0
SI,Imports,2008-04,575.0
SK,Imports,2008-04,736.0
TR,Imports,2008-04,
UK,Imports,2008-04,1012.0
XK,Imports,2008-04,
AL,Production,2008-04,
AT,Production,2008-04,
BA,Production,2008-04,
BE,Production,2008-04,
BG,Production,2008-04,
CY,Production,2008-04,
CZ,Production,2008-04,
DE,Production,2008-04,
DK,Production,2008-04,
EE,Production,2008-04,
EL,Production,2008-04,
ES,Production,2008-04,
EU27_2020,Production,2008-04,
FI,Production,2008-04,
FR,Production,2008-04,
HR,Production,2008-04,
HU,Production,2008-04,
IE,Production,2008-04,
IS,Production,2008-04,
IT,Production,2008-04,
LT,Production,2008-04,
LU,Production,2008-04,
LV,Production,2008-04,
ME,Production,2008-04,
MK,Production,2008-04,
MT,Production,2008-04,
NL,Production,2008-04,
NO,Production,2008-04,
PL,Production,2008-04,
PT,Production,2008-04,
RO,Production,2008-04,
RS,Production,2008-04,
SE,Production,2008-04,
SI,Production,2008-04,
SK,Production,2008-04,
TR,Production,2008-04,
UK,Production,2008-04,
XK,Production,2008-04,
AL,Consumption,2008-05,
AT,Consumption,2008-05,5218.0
BA,Consumption,2008-05,
BE,Consumption,2008-05,7222.0
BG,Consumption,2008-05,2449.0
CY,Consumption,2008-05,338.0
CZ,Consumption,2008-05,5111.0
DE,Consumption,2008-05,41890.0
DK,Consumption,2008-05,2830.0
EE,Consumption,2008-05,637.0
EL,Consumption,2008-05,4309.0
ES,Consumption,2008-05,21517.0
EU27_2020,Consumption,2008-05,
FI,Consumption,2008-05,6792.0
FR,Consumption,2008-05,35384.0
HR,Consumption,2008-05,
HU,Consumption,2008-05,3320.0
IE,Consumption,2008-05,2230.0
IS,Consumption,2008-05,
IT,Consumption,2008-05,27233.0
LT,Consumption,2008-05,799.0
LU,Consumption,2008-05,571.0
LV,Consumption,2008-05,562.0
ME,Consumption,2008-05,
MK,Consumption,2008-05,
MT,Consumption,2008-05,
NL,Consumption,2008-05,9311.0
NO,Consumption,2008-05,9298.0
PL,Consumption,2008-05,10692.0
PT,Consumption,2008-05,3115.0
RO,Consumption,2008-05,4281.0
RS,Consumption,2008-05,
SE,Consumption,2008-05,10908.0
SI,Consumption,2008-05,1122.0
SK,Consumption,2008-05,2153.0
TR,Consumption,2008-05,
UK,Consumption,2008-05,29305.0
XK,Consumption,2008-05,
AL,Imports,2008-05,
AT,Imports,2008-05,1287.0
BA,Imports,2008-05,
BE,Imports,2008-05,1603.0
BG,Imports,2008-05,118.0
CY,Imports,2008-05,0.0
CZ,Imports,2008-05,507.0
DE,Imports,2008-05,3469.0
DK,Imports,2008-05,1280.0
EE,Imports,2008-05,153.0
EL,Imports,2008-05,242.0
ES,Imports,2008-05,564.0
EU27_2020,Imports,2008-05,
FI,Imports,2008-05,1474.0
FR,Imports,2008-05,314.0
HR,Imports,2008-05,
HU,Imports,2008-05,1004.0
IE,Imports,2008-05,81.0
IS,Imports,2008-05,
IT,Imports,2008-05,4043.0
LT,Imports,2008-05,354.0
LU,Imports,2008-05,639.0
LV,Imports,2008-05,397.0
ME,Imports,2008-05,
MK,Imports,2008-05,
MT,Imports,2008-05,
NL,Imports,2008-05,2376.0
NO,Imports,2008-05,425.0
PL,Imports,2008-05,583.0
PT,Imports,2008-05,854.0
RO,Imports,2008-05,58.0
RS,Imports,2008-05,
SE,Imports,2008-05,351.0
SI,Imports,2008-05,456.0
SK,Imports,2008-05,431.0
TR,Imports,2008-05,
UK,Imports,2008-05,1437.0
XK,Imports,2008-05,
AL,Production,2008-05,
AT,Production,2008-05,
BA,Production,2008-05,
BE,Production,2008-05,
BG,Production,2008-05,
CY,Production,2008-05,
CZ,Production,2008-05,
DE,Production,2008-05,
DK,Production,2008-05,
EE,Production,2008-05,
EL,Production,2008-05,
ES,Production,2008-05,
EU27_2020,Production,2008-05,
FI,Production,2008-05,
FR,Production,2008-05,
HR,Production,2008-05,
HU,Production,2008-05,
IE,Production,2008-05,
IS,Production,2008-05,
IT,Production,2008-05,
LT,Production,2008-05,
LU,Production,2008-05,
LV,Production,2008-05,
ME,Production,2008-05,
MK,Production,2008-05,
MT,Production,2008-05,
NL,Production,2008-05,
NO,Production,2008-05,
PL,Production,2008-05,
PT,Production,2008-05,
RO,Production,2008-05,
RS,Production,2008-05,
SE,Production,2008-05,
SI,Production,2008-05,
SK,Production,2008-05,
TR,Production,2008-05,
UK,Production,2008-05,
XK,Production,2008-05,
AL,Consumption,2008-06,
AT,Consumption,2008-06,5210.0
BA,Consumption,2008-06,
BE,Consumption,2008-06,7029.0
BG,Consumption,2008-06,2393.0
CY,Consumption,2008-06,419.0
CZ,Consumption,2008-06,4784.0
DE,Consumption,2008-06,41216.0
DK,Consumption,2008-06,2752.0
EE,Consumption,2008-06,569.0
EL,Consumption,2008-06,4912.0
ES,Consumption,2008-06,21021.0
EU27_2020,Consumption,2008-06,
FI,Consumption,2008-06,6094.0
FR,Consumption,2008-06,34787.0
HR,Consumption,2008-06,
HU,Consumption,2008-06,3370.0
IE,Consumption,2008-06,2098.0
IS,Consumption,2008-06,
IT,Consumption,2008-06,27981.0
LT,Consumption,2008-06,762.0
LU,Consumption,2008-06,548.0
LV,Consumption,2008-06,520.0
ME,Consumption,2008-06,
MK,Consumption,2008-06,
MT,Consumption,2008-06,
NL,Consumption,2008-06,9221.0
NO,Consumption,2008-06,8372.0
PL,Consumption,2008-06,10525.0
PT,Consumption,2008-06,3171.0
RO,Consumption,2008-06,4226.0
RS,Consumption,2008-06,
SE,Consumption,2008-06,9877.0
SI,Consumption,2008-06,1114.0
SK,Consumption,2008-06,2037.0
TR,Consumption,2008-06,
UK,Consumption,2008-06,28048.0
XK,Consumption,2008-06,
AL,Imports,2008-06,
AT,Imports,2008-06,823.0
BA,Imports,2008-06,
BE,Imports,2008-06,1469.0
BG,Imports,2008-06,213.0
CY,Imports,2008-06,0.0
CZ,Imports,2008-06,545.0
DE,Imports,2008-06,4236.0
DK,Imports,2008-06,1077.0
EE,Imports,2008-06,179.0
EL,Imports,2008-06,362.0
ES,Imports,2008-06,334.0
EU27_2020,Imports,2008-06,
FI,Imports,2008-06,998.0
FR,Imports,2008-06,446.0
HR,Imports,2008-06,
HU,Imports,2008-06,802.0
IE,Imports,2008-06,31.0
