index,Date,Country,Temperature
2006,2022-07,AUT,20.0
2007,2022-08,AUT,20.0
2008,2022-09,AUT,13.0
2009,2022-10,AUT,12.0
2010,2022-11,AUT,5.0
2011,2022-12,AUT,1.0
2012,2023-01,AUT,1.0
2013,2023-02,AUT,2.0
2014,2023-03,AUT,6.0
2015,2023-04,AUT,7.0
2016,2023-05,AUT,13.0
2017,2023-06,AUT,18.0
2018,2023-07,AUT,20.0
2019,2023-08,AUT,19.0
5197,2020-10,BEL,12.0
5198,2020-11,BEL,9.0
5199,2020-12,BEL,6.0
5200,2021-01,BEL,3.0
5201,2021-02,BEL,5.0
5202,2021-03,BEL,7.0
5203,2021-04,BEL,7.0
5204,2021-05,BEL,12.0
5205,2021-06,BEL,19.0
5206,2021-07,BEL,18.0
5207,2021-08,BEL,17.0
5208,2021-09,BEL,16.0
5209,2021-10,BEL,12.0
5210,2021-11,BEL,7.0
5211,2021-12,BEL,6.0
5212,2022-01,BEL,5.0
5213,2022-02,BEL,7.0
5214,2022-03,BEL,8.0
5215,2022-04,BEL,10.0
5216,2022-05,BEL,15.0
5217,2022-06,BEL,18.0
5218,2022-07,BEL,20.0
5219,2022-08,BEL,21.0
5220,2022-09,BEL,15.0
5221,2022-10,BEL,14.0
5222,2022-11,BEL,9.0
5223,2022-12,BEL,4.0
5224,2023-01,BEL,6.0
5225,2023-02,BEL,6.0
5226,2023-03,BEL,8.0
5227,2023-04,BEL,9.0
5228,2023-05,BEL,14.0
5229,2023-06,BEL,20.0
5230,2023-07,BEL,19.0
5231,2023-08,BEL,18.0
8160,2000-01,HRV,2.0
8161,2000-02,HRV,6.0
8162,2000-03,HRV,8.0
8163,2000-04,HRV,14.0
8164,2000-05,HRV,18.0
8165,2000-06,HRV,22.0
8166,2000-07,HRV,21.0
8167,2000-08,HRV,24.0
8168,2000-09,HRV,18.0
8169,2000-10,HRV,15.0
8170,2000-11,HRV,12.0
8171,2000-12,HRV,7.0
8172,2001-01,HRV,6.0
8173,2001-02,HRV,6.0
8174,2001-03,HRV,11.0
8175,2001-04,HRV,11.0
8176,2001-05,HRV,18.0
8177,2001-06,HRV,19.0
8178,2001-07,HRV,23.0
8179,2001-08,HRV,24.0
8180,2001-09,HRV,16.0
8181,2001-10,HRV,16.0
8182,2001-11,HRV,7.0
8183,2001-12,HRV,1.0
8184,2002-01,HRV,3.0
8185,2002-02,HRV,7.0
8186,2002-03,HRV,10.0
8187,2002-04,HRV,11.0
8188,2002-05,HRV,17.0
8189,2002-06,HRV,21.0
8190,2002-07,HRV,23.0
8191,2002-08,HRV,22.0
8192,2002-09,HRV,16.0
8193,2002-10,HRV,13.0
8194,2002-11,HRV,11.0
8195,2002-12,HRV,5.0
8196,2003-01,HRV,3.0
8197,2003-02,HRV,1.0
8198,2003-03,HRV,8.0
8199,2003-04,HRV,11.0
8200,2003-05,HRV,19.0
8201,2003-06,HRV,24.0
8202,2003-07,HRV,24.0
8203,2003-08,HRV,25.0
8204,2003-09,HRV,17.0
8205,2003-10,HRV,12.0
8206,2003-11,HRV,11.0
8207,2003-12,HRV,5.0
8208,2004-01,HRV,2.0
8209,2004-02,HRV,5.0
8210,2004-03,HRV,7.0
8211,2004-04,HRV,12.0
8212,2004-05,HRV,14.0
8213,2004-06,HRV,20.0
8214,2004-07,HRV,23.0
8215,2004-08,HRV,22.0
8216,2004-09,HRV,18.0
8217,2004-10,HRV,15.0
8218,2004-11,HRV,9.0
8219,2004-12,HRV,6.0
8220,2005-01,HRV,3.0
8221,2005-02,HRV,1.0
8222,2005-03,HRV,6.0
8223,2005-04,HRV,11.0
8224,2005-05,HRV,17.0
8225,2005-06,HRV,20.0
8226,2005-07,HRV,22.0
8227,2005-08,HRV,20.0
8228,2005-09,HRV,18.0
8229,2005-10,HRV,13.0
8230,2005-11,HRV,8.0
8231,2005-12,HRV,4.0
8232,2006-01,HRV,2.0
8233,2006-02,HRV,4.0
8234,2006-03,HRV,6.0
8235,2006-04,HRV,12.0
8236,2006-05,HRV,16.0
8237,2006-06,HRV,20.0
8238,2006-07,HRV,24.0
8239,2006-08,HRV,20.0
8240,2006-09,HRV,19.0
8241,2006-10,HRV,15.0
8242,2006-11,HRV,10.0
8243,2006-12,HRV,7.0
8244,2007-01,HRV,8.0
8245,2007-02,HRV,8.0
8246,2007-03,HRV,9.0
8247,2007-04,HRV,14.0
8248,2007-05,HRV,18.0
8249,2007-06,HRV,22.0
8250,2007-07,HRV,24.0
8251,2007-08,HRV,22.0
8252,2007-09,HRV,16.0
8253,2007-10,HRV,12.0
8254,2007-11,HRV,7.0
