,"freq,nrg_bal,siec,uni",",geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 "
65,"A,NRGSUP,C0350-0370,KTOE,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
66,"A,NRGSUP,C0350-0370,KTOE,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
67,"A,NRGSUP,C0350-0370,KTOE,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
68,"A,NRGSUP,C0350-0370,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
69,"A,NRGSUP,C0350-0370,KTOE,NL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
70,"A,NRGSUP,C0350-0370,KTOE,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
71,"A,NRGSUP,C0350-0370,KTOE,PL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
72,"A,NRGSUP,C0350-0370,KTOE,PT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
73,"A,NRGSUP,C0350-0370,KTOE,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
74,"A,NRGSUP,C0350-0370,KTOE,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
75,"A,NRGSUP,C0350-0370,KTOE,SE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
76,"A,NRGSUP,C0350-0370,KTOE,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
77,"A,NRGSUP,C0350-0370,KTOE,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
78,"A,NRGSUP,C0350-0370,KTOE,TR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
79,"A,NRGSUP,C0350-0370,KTOE,UA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: ",
80,"A,NRGSUP,C0350-0370,KTOE,UK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: ",
81,"A,NRGSUP,C0350-0370,KTOE,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
82,"A,NRGSUP,E7000,KTOE,AL	-81.599 	280.482 	218.229 	199.742 	263.715 	120.292 	-3.611 	250.613 	-78.530 	206.882 	195.667 	-47.120 ",
83,"A,NRGSUP,E7000,KTOE,AT	209.512 	705.018 	241.012 	625.147 	797.483 	865.135 	615.587 	562.847 	769.287 	269.010 	188.806 	648.595 ",
84,"A,NRGSUP,E7000,KTOE,BA	: 	: 	: 	: 	-243.852 	-183.577 	-323.044 	-158.298 	-396.045 	-321.582 	-348.323 	-408.856 ",
85,"A,NRGSUP,E7000,KTOE,BE	47.377 	218.143 	854.342 	828.891 	1513.586 	1805.589 	531.642 	517.764 	1489.897 	-159.467 	-28.624 	-677.257 ",
86,"A,NRGSUP,E7000,KTOE,BG	-726.225 	-916.681 	-714.359 	-531.470 	-812.984 	-909.286 	-547.893 	-471.227 	-671.309 	-499.586 	-293.044 	-754.799 ",
87,"A,NRGSUP,E7000,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
