lat,lon,time,mean_Tmean_Yearly
59.800000000000004,5.899999999999999,1826,6.402821
40.0,-19.9,24106,--
45.400000000000006,27.699999999999996,730,11.120388
32.1,-11.399999999999999,11323,--
53.5,-24.5,2191,--
34.4,-7.100000000000001,2557,--
43.6,27.9,17897,12.400388
62.6,34.50000000000001,31411,5.603416
32.9,-8.299999999999997,35064,20.10453
71.5,7.899999999999999,2557,--
71.4,12.5,27759,--
66.4,-14.3,20089,--
55.5,-24.2,23741,--
34.2,-13.600000000000001,32142,--
35.4,0.8000000000000043,730,17.8707
36.0,8.100000000000001,22645,17.946196
72.30000000000001,28.800000000000004,18993,--
42.0,33.20000000000001,18628,13.254911
54.2,11.899999999999999,2922,8.792817
70.0,23.9,4383,-3.1234546
67.2,21.699999999999996,34699,2.587493
38.6,8.399999999999999,15340,18.26644
67.4,17.700000000000003,1461,-6.649535
40.3,-22.8,16801,--
37.8,-11.100000000000001,14975,--
38.7,18.300000000000004,36160,--
46.900000000000006,0.8999999999999986,18993,12.814711
44.400000000000006,-16.2,365,--
40.5,-20.5,7305,--
56.1,2.5,18262,--
62.300000000000004,-12.7,10227,--
33.5,6.300000000000004,14610,23.210709
67.9,-6.5,4748,--
66.7,24.300000000000004,32142,4.3309884
52.3,14.300000000000004,14610,10.40413
58.9,-12.200000000000003,15340,--
35.5,14.5,10227,--
42.400000000000006,-20.0,13149,--
57.2,-5.899999999999999,35794,9.294745
49.400000000000006,32.9,11688,9.447239
52.7,22.6,3652,7.904673
36.0,4.200000000000003,28124,15.89612
42.900000000000006,13.600000000000001,25567,14.079743
44.0,20.300000000000004,23011,11.953314
51.400000000000006,-13.2,2922,--
47.900000000000006,32.50000000000001,21184,10.125475
41.1,16.700000000000003,35429,17.042154
32.1,-1.1000000000000014,4748,20.118532
49.1,-4.299999999999997,35794,--
35.6,26.199999999999996,27759,--
31.3,-21.2,7305,--
53.8,7.600000000000001,17167,10.162753
56.4,-2.5,3287,--
32.5,4.5,12784,22.971983
68.0,-5.299999999999997,17167,--
31.6,18.0,8401,--
35.2,0.20000000000000284,20089,18.491177
61.400000000000006,-23.1,1096,--
51.6,-10.5,27028,--
65.9,-3.5,35429,--
53.400000000000006,5.800000000000004,29950,--
60.0,-16.0,18993,--
70.0,2.700000000000003,10592,--
50.6,16.0,13514,8.129265
40.8,2.0,25933,--
69.0,23.9,30681,0.7708304
38.3,15.700000000000003,24837,19.414928
42.8,-13.600000000000001,17167,--
44.3,-11.200000000000003,16071,--
60.1,-15.600000000000001,2191,--
41.0,34.4,20819,10.563685
53.400000000000006,22.9,27394,9.0832615
38.400000000000006,-1.1000000000000014,6940,14.967758
44.900000000000006,24.699999999999996,35429,12.229582
44.1,-15.8,2557,--
35.9,6.600000000000001,29585,16.802483
47.0,-23.5,1826,--
52.900000000000006,25.199999999999996,2557,7.5494895
40.0,7.100000000000001,26298,--
35.6,3.8000000000000043,31411,19.056456
34.1,25.500000000000007,28489,--
59.4,-0.6999999999999957,27394,--
32.9,20.000000000000007,28855,--
39.8,-10.399999999999999,16801,--
37.2,-9.0,29950,--
31.9,-10.799999999999997,4018,--
50.3,3.200000000000003,24472,11.803805
62.400000000000006,-2.3999999999999986,13514,--
36.9,-8.799999999999997,17532,18.11813
51.400000000000006,12.800000000000004,31046,11.359902
50.2,11.399999999999999,14610,9.358352
58.9,-20.6,33968,--
63.6,24.6,14245,4.31451
63.2,-11.399999999999999,7305,--
57.7,-22.0,18993,--
49.3,13.899999999999999,0,8.498775
31.4,10.100000000000001,24837,23.847517
57.4,-24.0,33238,--
30.200000000000003,17.700000000000003,34333,22.884954
36.7,-14.3,18628,--
37.1,14.800000000000004,6940,15.77734
31.6,4.700000000000003,30316,25.055416
51.3,-17.5,29220,--
56.6,3.8999999999999986,11323,--
40.0,-19.4,2191,--
36.0,20.300000000000004,32872,--
34.7,-8.100000000000001,32507,--
43.5,25.800000000000004,21550,12.705297
43.7,-15.3,8401,--
39.900000000000006,0.30000000000000426,23011,--
51.400000000000006,13.600000000000001,13149,10.5541115
33.3,21.500000000000007,29585,--
